"Total_Orders","Market_Excitation_Orders_52","Market_Excitation_Orders","New_Entrants_Orders_40","Frequent_Saver_Members","Twelve_Week_Active_Customers_41","Total_Orders_52","Total_Orders_53","Total_Orders_104","Total_Orders_105"
26544,1990,3989,759,5623,82906,23226,21855,17207,17401
27111,1407,4382,995,6160,82600,17891,23226,17276,17207
26149,1307,3989,1045,6276,83539,20392,17891,14777,17276
26264,1186,3109,800,6423,84234,21981,20392,17371,14777
23960,1385,2383,837,6549,84600,22385,21981,18040,17371
28113,1416,3427,813,6689,84780,22773,22385,17751,18040
26807,1222,4460,993,6804,85212,20584,22773,16836,17751
28314,1332,4418,1042,6981,87508,21191,20584,17128,16836
25637,1802,2716,832,7222,88952,21736,21191,16995,17128
26443,3791,4666,915,7653,89181,22640,21736,16704,16995
27602,3690,3896,850,8092,87978,24193,22640,14250,16704
25684,2476,2255,811,8209,86445,22192,24193,15962,14250
24365,2272,1822,847,8259,85924,21538,22192,15818,15962
25335,1900,2215,769,8314,85590,21667,21538,15578,15818
25147,1892,2153,829,8345,85260,21526,21667,15781,15578
24329,1861,2244,873,8366,85042,20332,21526,15495,15781
24395,1929,2198,845,8384,85622,20350,20332,15522,15495
24062,2004,2021,871,8403,85620,20333,20350,15366,15522
24487,3114,1858,925,8512,85208,21860,20333,15514,15366
23434,2646,1689,1024,8621,83588,20546,21860,14906,15514
23124,2077,1581,1060,8717,83662,20124,20546,15082,14906
23887,1616,1492,943,8898,85932,20921,20124,15420,15082
23468,1623,1346,912,9065,86338,20787,20921,15649,15420
25620,1616,2014,876,9195,86376,21734,20787,17580,15649
24775,1740,2102,998,9300,86515,21079,21734,16937,17580
25015,1725,2335,1037,9392,87984,20956,21079,16942,16937
25522,2118,2436,1539,9471,92853,21477,20956,18529,16942
26748,2133,2638,741,9107,98458,22615,21477,18932,18529
25969,1810,2429,850,9244,97565,21330,22615,17739,18932
24774,1598,1684,1300,9486,98523,21704,21330,17417,17739
25411,1572,1428,1047,9826,99851,21662,21704,18725,17417
25495,2058,1526,1050,10020,99747,22418,21662,18909,18725
26697,2142,1494,1081,10191,98701,24948,22418,18666,18909
25664,1982,1195,891,10167,96456,23118,24948,18036,18666
25576,1999,1074,886,10187,94991,22529,23118,19725,18036
27646,1966,1162,1084,10167,94671,23037,22529,21563,19725
28547,2966,987,858,10163,94415,24681,23037,22008,21563
28427,7265,809,832,9994,92734,27347,24681,20481,22008
29544,6327,897,803,10052,87642,28598,27347,21497,20481
18273,584,486,790,10079,80919,13522,28598,9312,21497
21034,2611,654,637,10184,81246,20014,13522,17400,9312
29558,2126,836,798,10112,82296,24923,20014,21388,17400
28940,1422,834,769,10042,83993,23940,24923,21708,21388
