Period,Total_Orders,Market_Excitation_Orders,New_Entrants_Orders,Frequent_Saver_Orders,Frequent_Saver_Members,Twelve_Week_Active_Customers
1,17401,1195,1333,0,0,57112
2,17207,1040,1235,0,0,58033
3,17276,1181,1323,0,0,58968
4,14777,950,949,0,0,58908
5,17371,1178,1045,0,0,59311
6,18040,1618,1209,0,0,60123
7,17751,1305,1089,0,0,60471
8,16836,1184,1034,0,0,60714
9,17128,1072,972,0,0,60996
10,16995,952,904,0,0,60719
11,16704,1149,998,0,0,60652
12,14250,940,943,0,0,60213
13,15962,1059,897,0,0,60013
14,15818,790,837,0,0,59513
15,15578,923,863,0,0,58782
16,15781,943,1029,0,0,59061
17,15495,1025,855,0,0,58860
18,15522,1235,889,0,0,58406
19,15366,1060,959,0,0,58087
20,15514,1195,907,0,0,58267
21,14906,957,813,0,0,58098
22,15082,872,878,0,0,57970
23,15420,895,946,0,0,57897
24,15649,1011,928,0,0,58302
25,17580,1497,1001,0,0,59076
26,16937,1230,975,0,0,59535
27,16942,1422,972,0,0,60231
28,18529,1671,1183,0,0,61421
29,18932,1691,1190,0,0,62937
30,17739,1252,1001,0,0,63462
31,17417,1026,1047,0,0,63752
32,18725,2021,1157,0,0,64897
33,18909,1805,1118,0,0,66249
34,18666,1482,1027,0,0,66810
35,18036,1252,954,0,0,67262
36,19725,1706,1136,0,0,68533
37,21563,2026,1406,0,0,70738
38,22008,1762,1391,0,0,73054
39,20481,1324,1349,0,0,74109
40,21497,1145,1710,0,0,75495
41,9312,399,717,0,0,74044
42,17400,1132,1125,0,0,74565
43,21388,1222,1643,0,0,75934
44,21708,2126,1591,0,0,76924
45,23342,1832,1882,0,0,78103
46,22832,1331,1422,0,0,79054
47,21819,890,1266,0,0,79385
48,20909,851,1362,0,0,79002
49,20424,795,1133,0,0,77716
50,22099,802,1214,0,0,76577
51,21463,763,1146,0,0,75583
52,21597,725,1164,0,0,73353
53,21855,1329,1177,0,0,75065
54,23226,1990,1222,0,0,76442
55,17891,1407,863,0,0,76284
56,20392,1307,933,0,0,75830
57,21981,1186,1001,0,0,75061
58,22385,1385,1014,0,0,75090
59,22773,1416,923,0,0,75664
60,20584,1222,845,0,0,75709
61,21191,1332,954,0,0,76114
62,21736,1802,1071,0,0,76998
63,22640,3791,891,0,0,79680
64,24193,3690,780,0,0,81979
65,22192,2476,754,0,0,82906
66,21538,2272,759,0,0,82600
67,21667,1900,995,0,0,83539
68,21526,1892,1045,0,0,84234
69,20332,1861,800,0,0,84600
70,20350,1929,837,0,0,84780
71,20333,2004,813,0,0,85212
72,21860,3114,993,0,0,87508
73,20546,2646,1042,0,0,88952
74,20124,2077,832,0,0,89181
75,20921,1616,915,0,0,87978
76,20787,1623,850,0,0,86445
77,21734,1616,811,0,0,85924
78,21079,1740,847,0,0,85590
79,20956,1725,769,0,0,85260
80,21477,2118,829,0,0,85042
81,22615,2133,873,0,0,85622
82,21330,1810,845,0,0,85620
83,21704,1598,871,0,0,85208
84,21662,1572,925,0,0,83588
85,22418,2058,1024,2,40,83662
86,24948,2142,1060,29,107,85932
87,23118,1982,943,289,375,86338
88,22529,1999,912,529,583,86376
89,23037,1966,876,736,890,86515
90,24681,2966,998,1051,1166,87984
91,27347,7265,1037,1398,1438,92853
92,28598,6327,1539,1299,1444,98458
93,13522,584,741,851,1448,97565
94,20014,2611,850,1260,1474,98523
95,24923,2126,1300,1715,1821,99851
96,23940,1422,1047,2076,2160,99747
97,24300,1072,1050,2369,2884,98701
98,25122,1254,1081,2718,3469,96456
99,24785,1162,891,3109,4208,94991
100,24278,1025,886,3284,4418,94671
101,24371,967,1084,3222,4538,94415
102,25453,1081,858,3496,4680,92734
103,24633,940,832,3502,4775,87642
104,24333,795,803,3654,4942,80919
105,24174,1130,790,3640,5171,81246
106,26544,3989,637,3749,5623,82296
107,27111,4382,798,3969,6160,83993
108,26149,3989,769,3942,6276,86203
109,26264,3109,754,4275,6423,88230
110,23960,2383,592,4186,6549,88515
111,28113,3427,832,4531,6689,90100
112,26807,4460,660,4540,6804,90860
113,28314,4418,629,4687,6981,92626
114,25637,2716,767,4802,7222,93722
115,26443,4666,878,4827,7653,95329
116,27602,3896,808,5439,8092,96253
117,25684,2255,790,5494,8209,96787
118,24365,1822,650,5267,8259,95677
119,25335,2215,715,5359,8314,95117
120,25147,2153,842,5273,8345,94251
121,24329,2244,759,4988,8366,93337
122,24395,2198,717,5089,8384,93551
123,24062,2021,774,5089,8403,93006
124,24487,1858,1037,5002,8512,92793
125,23434,1689,855,5043,8621,91143
126,23124,1581,813,5050,8717,90419
127,23887,1492,832,5301,8898,88822
128,23468,1346,683,5308,9065,87233
129,25620,2014,800,5566,9195,87559
130,24775,2102,694,5655,9300,88021
131,25015,2335,759,5635,9392,87904
132,25522,2436,860,5685,9471,87618
133,26748,2638,959,5683,9107,88887
134,25969,2429,907,5520,9244,89400
135,24774,1684,878,5618,9486,88977
136,25411,1428,1027,5959,9826,88354
137,25495,1526,943,6177,10020,87962
138,26697,1494,1097,6617,10191,87825
139,25664,1195,982,6541,10167,87449
140,25576,1074,920,6465,10187,87042
141,27646,1162,1276,6495,10167,86902
142,28547,987,1526,6681,10163,87039
143,28427,809,1653,6614,9994,87177
144,29544,897,2194,6161,10052,88137
145,18273,486,1294,4096,10079,87804
146,21034,654,1292,5517,10184,86857
147,29558,836,1612,6801,10112,87557
148,28940,834,1427,6720,10042,87539
149,29025,1309,1250,6440,9590,87564
150,29786,1365,1222,7132,10195,87553
151,29079,1281,1060,7385,10022,87782
152,27457,1004,1021,7194,9958,87883
153,27015,1004,954,7093,10034,87501
154,29937,963,1112,7424,10086,86797
155,29901,999,1112,7373,10136,86281
156,29110,1122,886,7373,10181,84168
157,29080,1065,938,7355,10202,83201
158,29532,1739,855,7173,9904,84177
159,31533,1907,1326,7376,9702,85744
160,24975,1390,759,6285,9724,85734
161,29575,1519,897,7166,9756,86173
162,30043,1671,798,7231,9791,86263
163,31773,2395,811,7396,9831,87303
164,30194,2884,761,7143,9875,88898
165,31778,3372,709,7272,9907,91576
166,31297,3014,790,7074,9828,93699
167,29482,2070,923,6904,9596,94822
168,31003,2036,850,7330,9947,95787
169,29203,1150,865,7548,10223,95880
170,29661,1635,847,7518,10263,95731
171,29401,1730,910,7389,10284,94816
172,30062,1604,829,7442,10314,95434
173,28470,1575,925,7159,10353,95731
174,28003,1550,691,7118,10347,95814
175,27895,1613,707,7104,10403,95457
176,,2053,,,10406,
177,,1167,,,10396,
178,,1149,,,10392,
179,,1462,,,10330,
180,,1637,,,10345,
181,,1584,,,10363,
182,,1985,,,10376,
183,,2257,,,10394,
184,,2247,,,11142,
185,,2259,,,11901,
186,,2437,,,11932,
187,,2575,,,11914,
188,,2439,,,11882,
189,,2332,,,11878,
190,,1693,,,11860,
191,,1405,,,11839,
192,,1880,,,11836,
193,,2296,,,12406,
194,,1963,,,12528,
195,,1587,,,12533,
196,,1881,,,12537,
197,,1076,,,12532,
198,,996,,,13282,
199,,2262,,,14327,
200,,2366,,,14300,
